"Technology","Age","CustomerSince","SupportCallsLastYear","AverageBill","ChurnIndicator"
"4G",47,2014-02-11 23:27:16,0,94,0.004
"landline",56,2015-07-05 22:27:16,1,13,0.004
"phone",3,2011-03-21 23:27:16,0,72,0.008
"landline",54,2013-02-16 23:27:16,0,93,0.002
"4G",11,2013-02-11 23:27:16,0,109,0.005
"phone",57,2014-09-13 22:27:16,0,41,0.004
"landline",34,2013-04-29 22:27:16,0,93,0.002
"4G",63,2012-04-15 22:27:16,0,110,0.006
"4G",12,2013-06-12 22:27:16,0,98,0.005
"4G",61,2013-04-25 22:27:16,0,102,0.005
"phone",57,2014-03-05 23:27:16,2,109,0.006
"4G",8,2014-11-25 23:27:16,1,84,0.005
"landline",24,2012-12-01 23:27:16,2,66,0.009
"4G",46,2015-03-24 23:27:16,6,107,0.009
"fiber",39,2013-10-31 23:27:16,3,15,0.143
"phone",52,2014-11-15 23:27:16,1,20,0.014
"4G",24,2014-07-20 22:27:16,0,18,0.015
"phone",11,2012-11-27 23:27:16,0,87,0.004
"phone",34,2011-10-05 22:27:16,0,22,0.024
"landline",18,2014-01-12 23:27:16,0,27,0.004
"fiber",10,2014-01-09 23:27:16,5,30,0.097
"fiber",14,2015-06-23 22:27:16,0,68,0.002
"4G",39,2012-04-13 22:27:16,6,78,0.062
"phone",24,2014-09-14 22:27:16,1,77,0.004
"fiber",63,2014-02-01 23:27:16,6,56,0.059
"phone",15,2015-03-08 23:27:16,0,99,0.001
"landline",21,2013-11-05 23:27:16,0,36,0.004
"phone",47,2011-04-04 22:27:16,5,43,0.083
"fiber",14,2014-04-14 22:27:16,0,45,0.009
"4G",45,2015-06-30 22:27:16,1,67,0.003
"4G",8,2011-02-05 23:27:16,0,50,0.018
"4G",4,2013-07-30 22:27:16,1,87,0.01
"4G",79,2011-04-26 22:27:16,0,98,0.009
"fiber",78,2013-03-04 23:27:16,2,49,0.043
"4G",54,2015-01-26 23:27:16,3,74,0.009
"phone",37,2014-12-17 23:27:16,6,96,0.009
"phone",40,2013-10-06 22:27:16,0,24,0.012
"landline",9,2015-11-13 23:27:16,1,108,0.0
"phone",1,2010-11-25 23:27:16,9,84,0.076
"phone",20,2010-08-10 22:27:16,1,33,0.041
"phone",53,2015-12-01 23:27:16,0,30,0.0
"4G",53,2011-05-02 22:27:16,0,54,0.016
"phone",17,2013-10-17 22:27:16,1,32,0.017
"4G",19,2012-06-08 22:27:16,1,18,0.074
"landline",31,2014-01-17 23:27:16,1,24,0.01
"phone",57,2014-01-08 23:27:16,10,105,0.026
"fiber",43,2010-10-05 22:27:16,2,42,0.094
"landline",61,2013-03-11 23:27:16,9,11,0.158
"4G",73,2011-08-01 22:27:16,1,73,0.023
"4G",32,2010-07-07 22:27:16,6,50,0.144
"landline",75,2011-11-03 23:27:16,3,70,0.015
"fiber",23,2012-07-05 22:27:16,5,42,0.124
"phone",64,2013-06-07 22:27:16,0,17,0.019
"phone",49,2013-03-24 23:27:16,1,109,0.006
"landline",21,2010-08-14 22:27:16,1,13,0.052
"phone",54,2015-01-22 23:27:16,1,54,0.004
"landline",72,2014-10-28 23:27:16,3,76,0.004
"phone",18,2013-02-25 23:27:16,3,46,0.031
"4G",53,2013-02-08 23:27:16,0,62,0.009
"4G",45,2014-11-25 23:27:16,0,36,0.006
"4G",44,2015-08-14 22:27:16,1,96,0.001
"phone",22,2015-04-07 22:27:16,0,82,0.001
"phone",19,2014-04-04 22:27:16,0,105,0.002
"4G",36,2010-09-23 22:27:16,0,12,0.082
"landline",73,2015-10-11 22:27:16,3,80,0.001
"phone",48,2015-11-07 23:27:16,0,71,0.0
"phone",80,2013-08-18 22:27:16,0,24,0.012
"4G",60,2010-07-28 22:27:16,4,20,0.255
"fiber",12,2011-04-22 22:27:16,0,99,0.012
"4G",26,2010-08-26 22:27:16,0,69,0.015
"fiber",33,2013-02-15 23:27:16,8,88,0.073
"4G",32,2012-06-19 22:27:16,0,90,0.007
"phone",64,2014-01-03 23:27:16,0,106,0.002
"phone",41,2015-07-22 22:27:16,0,38,0.001
"phone",16,2014-06-02 22:27:16,0,89,0.002
"phone",42,2013-05-14 22:27:16,0,82,0.004
"fiber",16,2015-12-11 23:27:16,1,99,0.0
"landline",39,2012-07-06 22:27:16,0,91,0.002
"4G",50,2011-08-18 22:27:16,0,88,0.009
"fiber",29,2015-09-16 22:27:16,3,101,0.002
"4G",74,2010-09-03 22:27:16,1,58,0.034
"landline",35,2010-08-30 22:27:16,3,67,0.02
"4G",12,2011-06-19 22:27:16,10,56,0.167
"4G",50,2015-02-19 23:27:16,4,105,0.007
"landline",64,2012-11-18 23:27:16,3,18,0.043
"landline",29,2011-03-19 23:27:16,8,83,0.032
"phone",41,2015-05-21 22:27:16,0,41,0.002
"fiber",41,2011-12-03 23:27:16,9,98,0.104
"landline",51,2014-03-16 23:27:16,0,26,0.004
"fiber",14,2014-11-21 23:27:16,0,27,0.01
"4G",25,2015-06-09 22:27:16,2,95,0.003
"4G",43,2011-12-03 23:27:16,0,53,0.014
"phone",55,2010-09-03 22:27:16,10,52,0.141
"4G",43,2011-11-03 23:27:16,0,46,0.017
"4G",37,2015-08-02 22:27:16,3,48,0.006
"phone",57,2010-06-26 22:27:16,3,55,0.05
"fiber",49,2015-04-08 22:27:16,0,18,0.01
"landline",53,2011-05-10 22:27:16,0,23,0.013
"fiber",53,2013-01-12 23:27:16,6,42,0.123
"landline",69,2014-06-25 22:27:16,0,17,0.005
"landline",60,2012-04-18 22:27:16,2,91,0.008
"4G",66,2011-12-08 23:27:16,8,62,0.11
"4G",26,2012-01-19 23:27:16,0,32,0.023
"4G",23,2014-07-18 22:27:16,5,39,0.041
"phone",22,2010-11-20 23:27:16,3,104,0.025
"4G",28,2015-05-27 22:27:16,4,96,0.005
"phone",49,2013-02-11 23:27:16,9,83,0.043
"landline",62,2015-03-27 23:27:16,5,17,0.016
"landline",58,2013-11-26 23:27:16,1,31,0.008
"4G",55,2011-04-15 22:27:16,6,23,0.269
"phone",54,2013-07-11 22:27:16,1,24,0.026
"phone",61,2012-08-15 22:27:16,0,90,0.005
"phone",20,2012-07-18 22:27:16,4,72,0.03
"4G",60,2014-05-13 22:27:16,0,65,0.005
"landline",62,2014-11-28 23:27:16,0,38,0.002
"phone",1,2014-08-11 22:27:16,0,86,0.002
"phone",37,2012-02-25 23:27:16,0,100,0.005
"4G",65,2015-09-09 22:27:16,0,22,0.002
"phone",7,2014-04-29 22:27:16,0,99,0.002
"4G",8,2012-10-18 22:27:16,0,60,0.01
"4G",9,2011-04-30 22:27:16,3,69,0.051
"4G",25,2015-02-23 23:27:16,1,19,0.016
"4G",51,2014-11-13 23:27:16,7,90,0.018
"4G",77,2014-01-18 23:27:16,6,68,0.037
"fiber",9,2015-08-12 22:27:16,0,19,0.005
"4G",16,2014-10-08 22:27:16,0,57,0.004
"fiber",53,2015-09-14 22:27:16,0,54,0.001
"phone",40,2010-08-09 22:27:16,0,43,0.016
"phone",28,2013-10-23 22:27:16,3,28,0.039
"4G",17,2011-03-19 23:27:16,2,23,0.117
"4G",64,2010-09-08 22:27:16,7,37,0.216
"phone",73,2011-03-01 23:27:16,2,35,0.052
"landline",27,2014-11-12 23:27:16,0,101,0.001
"4G",42,2015-04-29 22:27:16,0,94,0.001
"landline",24,2015-04-06 22:27:16,0,13,0.003
"landline",16,2012-08-06 22:27:16,2,85,0.007
"fiber",44,2014-03-31 22:27:16,1,107,0.008
"4G",27,2011-09-19 22:27:16,4,41,0.098
"4G",68,2013-11-11 23:27:16,2,84,0.014
"phone",49,2013-11-19 23:27:16,0,44,0.006
"landline",41,2013-10-12 22:27:16,1,44,0.006
"4G",59,2011-05-22 22:27:16,6,39,0.155
"phone",22,2010-07-04 22:27:16,1,26,0.053
"phone",55,2011-01-20 23:27:16,0,19,0.033
"phone",48,2013-07-26 22:27:16,1,34,0.018
"landline",41,2012-05-29 22:27:16,2,46,0.015
"landline",66,2010-11-14 23:27:16,0,52,0.006
"4G",14,2012-05-08 22:27:16,0,43,0.016
"4G",74,2015-03-04 23:27:16,1,82,0.004
"landline",52,2012-05-07 22:27:16,1,73,0.006
"4G",34,2015-05-24 22:27:16,1,34,0.006
"phone",29,2012-11-11 23:27:16,0,71,0.005
"4G",17,2014-07-05 22:27:16,5,78,0.021
"phone",55,2015-06-07 22:27:16,1,83,0.002
"fiber",68,2012-04-03 22:27:16,1,87,0.021
"phone",42,2013-07-14 22:27:16,0,73,0.004
"landline",62,2015-11-25 23:27:16,4,71,0.0
"4G",22,2011-12-12 23:27:16,0,94,0.008
"phone",22,2013-06-28 22:27:16,1,47,0.013
"4G",45,2015-04-09 22:27:16,2,67,0.006
"fiber",21,2013-05-19 22:27:16,2,45,0.043
"fiber",75,2011-08-22 22:27:16,3,67,0.065
"4G",58,2010-10-01 22:27:16,4,57,0.086
"4G",73,2013-11-22 23:27:16,0,59,0.007
"fiber",4,2013-04-21 22:27:16,3,32,0.084
"phone",78,2015-06-02 22:27:16,0,26,0.003
"4G",32,2011-11-26 23:27:16,0,63,0.012
"phone",66,2014-11-06 23:27:16,1,28,0.01
"4G",23,2012-07-05 22:27:16,3,19,0.137
"4G",58,2010-09-20 22:27:16,0,109,0.009
"4G",71,2012-07-21 22:27:16,0,45,0.014
"phone",64,2013-02-19 23:27:16,0,82,0.004
"fiber",48,2012-05-03 22:27:16,5,52,0.105
"fiber",27,2013-04-30 22:27:16,2,18,0.11
"4G",7,2014-03-12 23:27:16,0,77,0.004
"4G",30,2013-10-24 22:27:16,0,73,0.006
"4G",33,2015-04-11 22:27:16,0,90,0.001
"4G",2,2010-06-30 22:27:16,0,26,0.04
"4G",19,2013-11-15 23:27:16,4,58,0.034
"4G",57,2010-11-20 23:27:16,0,71,0.014
"phone",44,2013-02-22 23:27:16,1,32,0.022
"phone",3,2014-06-22 22:27:16,0,40,0.005
"4G",37,2012-08-07 22:27:16,3,42,0.06
"landline",65,2011-10-24 22:27:16,2,92,0.009
"phone",70,2015-12-12 23:27:16,2,101,0.0
"landline",47,2012-06-02 22:27:16,6,86,0.018
"landline",4,2014-11-19 23:27:16,5,89,0.005
"phone",71,2010-08-19 22:27:16,0,15,0.045
"phone",17,2011-12-31 23:27:16,0,41,0.012
"4G",46,2014-04-27 22:27:16,1,31,0.02
"4G",29,2013-02-15 23:27:16,3,48,0.045
"4G",44,2013-04-09 22:27:16,0,23,0.022
"phone",7,2011-11-19 23:27:16,1,100,0.01
"phone",5,2015-05-16 22:27:16,2,75,0.003
"4G",73,2015-04-22 22:27:16,0,59,0.002
"phone",11,2010-08-06 22:27:16,1,98,0.014
"4G",7,2011-09-27 22:27:16,3,48,0.066
"fiber",31,2014-06-04 22:27:16,9,74,0.052
"phone",42,2013-05-24 22:27:16,6,50,0.045
"fiber",42,2010-10-13 22:27:16,1,95,0.027
"landline",24,2012-10-02 22:27:16,1,54,0.007
"phone",23,2013-09-12 22:27:16,1,101,0.006
"landline",4,2012-01-18 23:27:16,0,10,0.025
"phone",66,2011-10-23 22:27:16,0,88,0.006
"4G",18,2011-08-25 22:27:16,2,64,0.038
"phone",31,2015-03-29 22:27:16,0,107,0.001
"fiber",48,2015-05-12 22:27:16,0,95,0.002
"4G",49,2013-11-14 23:27:16,4,110,0.018
"4G",22,2015-09-13 22:27:16,6,28,0.012
"4G",57,2014-01-18 23:27:16,0,102,0.004
"phone",10,2014-07-18 22:27:16,4,84,0.011
"landline",48,2012-07-21 22:27:16,0,68,0.003
"landline",4,2012-03-15 23:27:16,3,57,0.017
"4G",29,2013-10-19 22:27:16,0,18,0.023
"phone",66,2014-07-29 22:27:16,9,90,0.019
"4G",3,2015-06-26 22:27:16,1,76,0.002
"4G",57,2010-09-27 22:27:16,3,99,0.04
"phone",65,2015-10-15 22:27:16,1,64,0.001
"fiber",53,2012-11-21 23:27:16,0,17,0.045
"4G",57,2011-07-08 22:27:16,0,58,0.014
"4G",18,2011-02-25 23:27:16,0,56,0.016
"4G",9,2015-08-25 22:27:16,9,69,0.008
"4G",39,2013-10-09 22:27:16,0,92,0.004
"landline",58,2015-11-26 23:27:16,2,41,0.0
"landline",16,2011-07-15 22:27:16,0,102,0.003
"phone",3,2011-01-22 23:27:16,0,108,0.006
"phone",51,2011-03-01 23:27:16,3,101,0.024
"phone",44,2012-01-22 23:27:16,0,24,0.02
"fiber",65,2013-09-23 22:27:16,3,34,0.066
"phone",15,2013-07-28 22:27:16,4,52,0.029
"landline",64,2012-03-16 23:27:16,0,24,0.01
"phone",43,2014-08-27 22:27:16,9,99,0.017
"phone",53,2015-05-20 22:27:16,3,77,0.004
"phone",46,2012-05-14 22:27:16,0,51,0.009
"landline",54,2013-06-03 22:27:16,1,25,0.013
"phone",1,2011-03-28 22:27:16,1,24,0.05
"phone",30,2013-05-18 22:27:16,8,65,0.045
"phone",73,2012-11-14 23:27:16,5,97,0.024
"fiber",49,2011-09-23 22:27:16,6,80,0.093
"landline",18,2011-12-14 23:27:16,0,81,0.003
"phone",47,2011-06-08 22:27:16,2,70,0.024
"4G",72,2015-03-01 23:27:16,1,57,0.005
"4G",10,2011-07-03 22:27:16,4,54,0.078
"fiber",60,2010-07-04 22:27:16,0,92,0.015
"4G",64,2012-08-22 22:27:16,1,46,0.027
"fiber",79,2011-05-07 22:27:16,0,73,0.016
"4G",60,2013-09-07 22:27:16,0,63,0.007
"4G",19,2012-05-13 22:27:16,1,32,0.042
"fiber",27,2012-07-26 22:27:16,1,110,0.016
"4G",1,2013-05-19 22:27:16,3,101,0.019
"phone",14,2011-04-19 22:27:16,0,89,0.007
"landline",10,2012-06-30 22:27:16,3,89,0.01
"landline",50,2014-03-17 23:27:16,0,30,0.004
"fiber",49,2013-06-21 22:27:16,3,28,0.089
"landline",38,2011-08-19 22:27:16,0,93,0.003
"phone",49,2012-07-02 22:27:16,2,39,0.033
"fiber",65,2013-10-15 22:27:16,1,79,0.014
"phone",9,2011-01-14 23:27:16,0,105,0.006
"fiber",38,2012-12-23 23:27:16,8,92,0.073
"4G",29,2015-01-28 23:27:16,1,72,0.005
"landline",24,2013-03-04 23:27:16,0,46,0.004
"4G",72,2013-07-06 22:27:16,1,28,0.033
"fiber",32,2011-12-27 23:27:16,7,76,0.105
"4G",20,2015-07-24 22:27:16,8,72,0.009
"4G",60,2012-08-19 22:27:16,0,56,0.011
"4G",63,2013-07-13 22:27:16,1,56,0.016
"fiber",60,2011-01-27 23:27:16,2,55,0.067
"phone",59,2012-08-07 22:27:16,0,73,0.006
"fiber",0,2012-09-04 22:27:16,7,12,0.551
"4G",6,2012-11-13 23:27:16,1,74,0.016
"fiber",35,2012-05-26 22:27:16,0,66,0.014
"4G",5,2011-07-07 22:27:16,1,85,0.02
"4G",13,2014-12-24 23:27:16,0,94,0.002
"4G",66,2015-08-17 22:27:16,8,95,0.006
"4G",60,2013-10-27 23:27:16,3,11,0.147
"4G",21,2014-08-08 22:27:16,1,16,0.032
"landline",31,2010-11-08 23:27:16,2,47,0.021
"fiber",47,2011-12-15 23:27:16,7,108,0.075
"landline",19,2014-02-26 23:27:16,0,91,0.001
"fiber",48,2014-02-01 23:27:16,0,41,0.011
"fiber",20,2011-02-08 23:27:16,0,22,0.056
"landline",11,2013-05-28 22:27:16,10,14,0.126
"phone",65,2014-12-12 23:27:16,2,105,0.004
"4G",28,2015-03-05 23:27:16,0,27,0.005
"fiber",16,2013-11-16 23:27:16,2,68,0.023
"fiber",36,2015-06-14 22:27:16,1,17,0.015
"4G",32,2010-10-27 22:27:16,1,77,0.025
"4G",4,2014-09-05 22:27:16,0,34,0.007
"4G",20,2011-02-03 23:27:16,7,32,0.23
"4G",61,2015-04-19 22:27:16,2,84,0.004
"phone",33,2011-10-16 22:27:16,0,25,0.021
"landline",73,2014-10-05 22:27:16,7,103,0.006
"fiber",27,2011-07-06 22:27:16,0,40,0.028
"4G",66,2010-07-13 22:27:16,0,44,0.023
"fiber",22,2012-10-05 22:27:16,2,15,0.161
"landline",33,2012-06-07 22:27:16,9,37,0.06
"phone",5,2013-07-11 22:27:16,2,102,0.009
"4G",35,2014-11-01 23:27:16,3,99,0.009
"phone",41,2013-12-07 23:27:16,2,85,0.009
"phone",41,2014-10-30 23:27:16,0,35,0.004
"4G",11,2011-07-28 22:27:16,0,84,0.01
"phone",24,2011-01-05 23:27:16,0,76,0.008
"phone",74,2014-01-11 23:27:16,0,61,0.004
"phone",4,2014-03-15 23:27:16,7,105,0.017
"4G",1,2014-02-01 23:27:16,2,49,0.022
"phone",72,2012-09-26 22:27:16,0,18,0.023
"4G",24,2013-03-03 23:27:16,0,38,0.014
"phone",72,2014-02-21 23:27:16,4,45,0.025
"landline",79,2011-09-30 22:27:16,3,62,0.017
"phone",45,2011-09-10 22:27:16,0,22,0.024
"4G",60,2010-11-23 23:27:16,8,46,0.187
"4G",57,2014-08-14 22:27:16,3,98,0.01
"phone",42,2014-04-22 22:27:16,0,68,0.003
"4G",61,2011-11-10 23:27:16,0,97,0.008
"4G",58,2013-10-22 22:27:16,1,92,0.009
"phone",10,2011-11-20 23:27:16,0,51,0.01
"4G",40,2013-06-10 22:27:16,1,38,0.025
"4G",12,2011-02-09 23:27:16,0,71,0.013
"4G",56,2011-07-09 22:27:16,0,61,0.014
"phone",38,2011-04-09 22:27:16,0,109,0.005
"landline",16,2012-03-15 23:27:16,2,57,0.012
"fiber",23,2012-02-24 23:27:16,2,14,0.206
"4G",15,2011-07-22 22:27:16,0,63,0.013
"4G",74,2012-11-29 23:27:16,0,57,0.01
"fiber",66,2015-01-29 23:27:16,2,89,0.007
"fiber",44,2015-07-21 22:27:16,1,63,0.003
"fiber",36,2010-12-03 23:27:16,0,99,0.013
"4G",26,2015-01-05 23:27:16,8,107,0.015
"phone",79,2010-12-22 23:27:16,0,91,0.007
"fiber",36,2012-01-11 23:27:16,5,72,0.083
"4G",13,2011-08-10 22:27:16,3,39,0.084
"phone",1,2014-11-12 23:27:16,0,77,0.002
"phone",12,2015-11-17 23:27:16,0,102,0.0
"landline",10,2010-09-17 22:27:16,9,44,0.075
"4G",10,2012-11-19 23:27:16,0,62,0.009
"4G",30,2013-09-15 22:27:16,6,110,0.027
"fiber",49,2012-12-28 23:27:16,0,15,0.05
"fiber",61,2013-04-28 22:27:16,1,35,0.038
"landline",23,2010-06-27 22:27:16,5,91,0.023
"4G",65,2011-05-05 22:27:16,0,106,0.008
"4G",45,2010-09-07 22:27:16,0,37,0.027
"4G",25,2014-01-08 23:27:16,5,55,0.04
"4G",35,2014-07-25 22:27:16,0,107,0.002
"4G",51,2014-10-26 23:27:16,0,16,0.013
"phone",7,2011-02-24 23:27:16,4,50,0.061
"phone",75,2010-12-25 23:27:16,3,101,0.025
"phone",50,2012-10-03 22:27:16,2,39,0.031
"phone",65,2011-10-10 22:27:16,4,46,0.057
"phone",51,2015-03-13 23:27:16,0,108,0.001
"landline",36,2010-11-04 23:27:16,2,21,0.046
"landline",5,2015-07-16 22:27:16,2,14,0.006
"phone",78,2015-01-27 23:27:16,0,49,0.002
"phone",60,2013-07-24 22:27:16,1,18,0.034
"4G",72,2015-03-09 23:27:16,0,23,0.006
"4G",45,2012-05-05 22:27:16,0,86,0.008
"4G",71,2013-05-16 22:27:16,3,83,0.024
"4G",60,2010-11-30 23:27:16,1,104,0.018
"phone",74,2015-09-08 22:27:16,1,26,0.003
"phone",29,2010-10-24 22:27:16,0,18,0.036
"fiber",70,2013-02-12 23:27:16,4,46,0.078
"landline",74,2011-10-27 22:27:16,1,40,0.013
"4G",47,2014-03-27 23:27:16,3,35,0.037
"4G",24,2014-11-01 23:27:16,3,37,0.023
"4G",49,2014-07-28 22:27:16,0,48,0.005
"4G",9,2012-11-26 23:27:16,0,108,0.005
"fiber",75,2014-10-20 22:27:16,3,58,0.02
"fiber",30,2014-03-30 22:27:16,0,38,0.011
"4G",26,2013-05-01 22:27:16,6,51,0.068
"fiber",56,2011-01-08 23:27:16,1,75,0.033
"fiber",78,2013-10-20 22:27:16,0,58,0.009
"phone",39,2013-05-31 22:27:16,1,91,0.007
"phone",39,2012-11-09 23:27:16,2,78,0.015
"4G",10,2014-01-08 23:27:16,5,94,0.023
"4G",24,2012-06-14 22:27:16,4,68,0.049
"landline",25,2015-01-09 23:27:16,0,38,0.002
"4G",41,2013-08-08 22:27:16,2,104,0.013
"4G",27,2014-01-31 23:27:16,0,23,0.015
"fiber",62,2013-09-04 22:27:16,1,92,0.012
"fiber",31,2014-12-22 23:27:16,0,97,0.003
"phone",26,2014-09-22 22:27:16,0,27,0.006
"phone",70,2015-09-09 22:27:16,2,56,0.002
"landline",37,2010-12-02 23:27:16,2,54,0.018
"landline",10,2015-05-20 22:27:16,0,25,0.001
"phone",14,2011-02-12 23:27:16,1,108,0.011
"phone",16,2013-08-23 22:27:16,5,60,0.029
"fiber",10,2014-11-07 23:27:16,1,94,0.006
"fiber",49,2011-07-03 22:27:16,0,36,0.031
"phone",40,2012-05-08 22:27:16,0,32,0.014
"4G",74,2012-01-18 23:27:16,0,70,0.011
"4G",22,2013-10-26 22:27:16,2,94,0.013
"4G",49,2015-02-03 23:27:16,0,45,0.004
"landline",24,2014-12-25 23:27:16,0,12,0.005
"phone",22,2011-08-06 22:27:16,1,31,0.035
"phone",57,2011-12-26 23:27:16,0,63,0.008
"4G",63,2015-11-05 23:27:16,2,34,0.002
"phone",73,2013-09-16 22:27:16,0,36,0.008
"4G",42,2015-05-13 22:27:16,4,40,0.014
"4G",38,2015-09-28 22:27:16,0,70,0.001
"4G",36,2014-12-31 23:27:16,0,27,0.007
"phone",65,2014-09-10 22:27:16,7,45,0.028
"landline",40,2012-06-28 22:27:16,7,94,0.019
"phone",38,2011-12-27 23:27:16,2,13,0.115
"phone",35,2015-02-17 23:27:16,1,72,0.003
"phone",80,2015-07-18 22:27:16,0,72,0.001
"phone",30,2014-07-28 22:27:16,0,22,0.008
"phone",40,2012-12-15 23:27:16,0,37,0.01
"phone",28,2011-03-11 23:27:16,0,22,0.027
"phone",3,2013-01-05 23:27:16,1,47,0.016
"fiber",35,2011-07-08 22:27:16,0,20,0.056
"phone",31,2013-12-06 23:27:16,10,65,0.043
"landline",66,2014-11-05 23:27:16,0,85,0.001
"phone",36,2015-11-10 23:27:16,0,23,0.001
"landline",28,2011-04-13 22:27:16,5,97,0.018
"phone",2,2013-01-11 23:27:16,0,48,0.008
"phone",67,2014-11-20 23:27:16,8,106,0.011
"landline",71,2012-04-25 22:27:16,1,34,0.013
"phone",28,2010-06-30 22:27:16,0,18,0.038
"4G",4,2015-02-08 23:27:16,6,46,0.024
"landline",42,2010-09-11 22:27:16,4,11,0.151
"phone",65,2011-04-23 22:27:16,1,43,0.027
"4G",53,2010-08-01 22:27:16,1,82,0.025
"phone",12,2011-10-10 22:27:16,2,61,0.026
"fiber",11,2011-02-24 23:27:16,2,42,0.087
"phone",3,2013-06-03 22:27:16,0,89,0.004
"phone",38,2011-06-04 22:27:16,0,24,0.024
"landline",55,2011-03-21 23:27:16,1,101,0.006
"4G",37,2015-05-22 22:27:16,1,100,0.002
"4G",23,2012-12-14 23:27:16,4,100,0.028
"phone",62,2010-09-26 22:27:16,5,41,0.096
"4G",26,2013-12-09 23:27:16,8,49,0.07
"phone",7,2015-10-27 23:27:16,2,70,0.001
"phone",10,2011-10-24 22:27:16,0,88,0.006
"phone",34,2014-12-11 23:27:16,0,23,0.006
"4G",57,2014-11-06 23:27:16,1,68,0.006
"4G",13,2015-07-16 22:27:16,0,105,0.001
"landline",36,2010-07-29 22:27:16,1,93,0.007
"landline",56,2015-08-11 22:27:16,0,25,0.001
"landline",18,2015-01-01 23:27:16,9,77,0.008
"4G",19,2014-03-07 23:27:16,1,83,0.008
"fiber",64,2011-03-23 23:27:16,0,94,0.013
"phone",75,2010-12-25 23:27:16,0,18,0.035
"fiber",73,2012-12-26 23:27:16,0,44,0.017
"fiber",62,2013-06-19 22:27:16,2,86,0.022
"4G",42,2012-05-16 22:27:16,0,12,0.056
"phone",20,2014-02-20 23:27:16,9,63,0.036
"4G",29,2012-08-20 22:27:16,0,13,0.048
"4G",66,2014-12-12 23:27:16,4,97,0.01
"4G",54,2014-09-05 22:27:16,1,75,0.006
"phone",66,2012-03-23 23:27:16,0,103,0.005
"phone",1,2014-11-20 23:27:16,0,54,0.002
"4G",33,2012-02-23 23:27:16,7,64,0.09
"phone",68,2013-02-15 23:27:16,0,43,0.008
"phone",65,2013-09-06 22:27:16,5,75,0.023
"4G",32,2011-02-13 23:27:16,1,54,0.034
"phone",59,2011-07-08 22:27:16,6,105,0.037
"4G",26,2015-06-18 22:27:16,1,96,0.002
"phone",15,2014-10-20 22:27:16,3,106,0.005
"phone",9,2012-09-06 22:27:16,4,56,0.037
"4G",16,2015-07-19 22:27:16,0,88,0.001
"phone",59,2013-09-13 22:27:16,2,99,0.009
"fiber",75,2011-10-12 22:27:16,1,43,0.049
"fiber",54,2015-01-28 23:27:16,2,109,0.006
"phone",57,2014-02-20 23:27:16,1,40,0.011
"4G",47,2013-06-15 22:27:16,2,71,0.02
"fiber",3,2012-10-24 22:27:16,0,82,0.01
"phone",15,2015-01-09 23:27:16,0,83,0.001
"fiber",40,2011-01-17 23:27:16,1,96,0.026
"phone",53,2012-09-18 22:27:16,0,101,0.004
"4G",75,2011-01-30 23:27:16,0,90,0.01
"fiber",61,2013-01-29 23:27:16,1,30,0.048
"fiber",46,2014-08-22 22:27:16,1,78,0.008
"phone",62,2011-06-06 22:27:16,7,34,0.134
"fiber",1,2010-11-20 23:27:16,1,93,0.027
"4G",74,2012-01-26 23:27:16,2,80,0.028
"4G",64,2011-03-01 23:27:16,7,40,0.181
"fiber",61,2014-02-27 23:27:16,4,37,0.061
"fiber",40,2013-02-19 23:27:16,0,95,0.007
"4G",9,2010-08-23 22:27:16,1,39,0.052
"landline",31,2010-10-15 22:27:16,1,40,0.016
"fiber",75,2011-11-16 23:27:16,0,99,0.01
"fiber",38,2014-01-04 23:27:16,0,19,0.026
"4G",1,2011-02-11 23:27:16,0,49,0.019
"4G",16,2014-09-07 22:27:16,0,48,0.005
"4G",39,2015-10-23 22:27:16,5,97,0.002
"phone",69,2015-06-20 22:27:16,0,78,0.001
"landline",13,2014-03-22 23:27:16,0,102,0.001
"4G",3,2010-09-08 22:27:16,1,94,0.021
"phone",80,2012-04-15 22:27:16,0,62,0.007
"landline",17,2012-10-14 22:27:16,1,53,0.008
"landline",40,2011-02-20 23:27:16,0,60,0.005
"4G",68,2010-11-06 23:27:16,4,81,0.06
"4G",8,2013-06-07 22:27:16,0,66,0.007
"4G",12,2013-10-11 22:27:16,0,22,0.019
"phone",4,2014-02-28 23:27:16,1,35,0.013
"landline",50,2012-08-03 22:27:16,0,53,0.004
"landline",62,2015-01-17 23:27:16,0,21,0.003
"fiber",43,2014-03-21 23:27:16,0,85,0.005
"4G",11,2011-06-13 22:27:16,4,86,0.05
"fiber",54,2015-05-01 22:27:16,2,57,0.008
"4G",33,2014-07-23 22:27:16,0,32,0.008
"landline",30,2014-09-16 22:27:16,0,98,0.001
"fiber",28,2012-03-02 23:27:16,0,83,0.012
"fiber",44,2014-07-20 22:27:16,0,58,0.006
"4G",19,2013-11-02 23:27:16,0,21,0.019
"fiber",17,2012-02-27 23:27:16,0,27,0.035
"phone",26,2013-04-05 22:27:16,0,19,0.018
"phone",50,2010-12-14 23:27:16,4,59,0.053
"phone",67,2013-08-29 22:27:16,1,18,0.032
"4G",3,2010-09-26 22:27:16,1,80,0.025
"4G",6,2010-12-12 23:27:16,0,12,0.079
"phone",29,2015-02-01 23:27:16,0,18,0.006
"phone",36,2014-03-23 23:27:16,1,54,0.008
"4G",54,2010-07-20 22:27:16,2,77,0.04
